pmutype, desID, event0, event1, , start, duration, end, layerID, desType,     srcAddr, dstAddr, trans_fmt, transpose_md, cmd_id, wait_id_tpu, dst_h_stride, dst_c_stride_low,     dst_n_stride, src_h_stride, src_c_stride_low, src_n_stride, dst_c, src_c, dst_w, dst_h, src_w, src_h, src_n
1, 85, 201, 3150, 1, 265435, 5059, 270494, 22, TDMA Tensor Load, 0x4295000672, 0x1184,         0, 0, 85, 8, 224, 16800, 16800, 224, 50176, 150528, 3, 3, 224, 75, 224, 75, 1
4, 9, 0, 0, 3, 270498, 69418, 339916, 23, TIU PerChannel Convolution
4, 10, 0, 0, 3, 339917, 2606, 342523, 24, TIU Max Pooling
4, 11, 0, 0, 3, 342524, 16699, 359223, 25, TIU PerChannel Convolution
2, 86, 40, 585, 2, 359225, 1319, 360544, 27, TDMA Tensor Store Compression, 0x3328, 0x4295546720,         0, 0, 86, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 87, 40, 584, 2, 360545, 1210, 361755, 27, TDMA Tensor Store Compression, 0x3384, 0x4295561968,         0, 0, 87, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 88, 42, 593, 2, 361756, 1165, 362921, 27, TDMA Tensor Store Compression, 0x3440, 0x4295577216,         0, 0, 88, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
4, 12, 0, 0, 3, 359224, 4225, 363449, 26, TIU PerChannel Convolution
2, 89, 41, 596, 2, 362922, 1248, 364170, 27, TDMA Tensor Store Compression, 0x3496, 0x4295592464,         0, 0, 89, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 90, 41, 601, 2, 364171, 1130, 365301, 27, TDMA Tensor Store Compression, 0x3552, 0x4295607712,         0, 0, 90, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 91, 41, 601, 2, 365302, 1236, 366538, 27, TDMA Tensor Store Compression, 0x3608, 0x4295622960,         0, 0, 91, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 92, 42, 591, 2, 366539, 1133, 367672, 27, TDMA Tensor Store Compression, 0x3664, 0x4295638208,         0, 0, 92, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 93, 40, 585, 2, 367673, 1269, 368942, 27, TDMA Tensor Store Compression, 0x3720, 0x4295653456,         0, 0, 93, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 94, 41, 598, 2, 368943, 1135, 370078, 27, TDMA Tensor Store Compression, 0x3776, 0x4295668704,         0, 0, 94, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 95, 40, 596, 2, 370079, 1122, 371201, 27, TDMA Tensor Store Compression, 0x3832, 0x4295683952,         0, 0, 95, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 96, 43, 617, 2, 371202, 1170, 372372, 27, TDMA Tensor Store Compression, 0x3888, 0x4295699200,         0, 0, 96, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 97, 43, 620, 2, 372373, 1126, 373499, 27, TDMA Tensor Store Compression, 0x3944, 0x4295714448,         0, 0, 97, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 98, 42, 616, 2, 373500, 1249, 374749, 27, TDMA Tensor Store Compression, 0x4000, 0x4295729696,         0, 0, 98, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 99, 43, 614, 2, 374750, 1123, 375873, 27, TDMA Tensor Store Compression, 0x4056, 0x4295744944,         0, 0, 99, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 100, 42, 611, 2, 375874, 1268, 377142, 27, TDMA Tensor Store Compression, 0x4112, 0x4295760192,         0, 0, 100, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 101, 42, 617, 2, 377143, 1125, 378268, 27, TDMA Tensor Store Compression, 0x4168, 0x4295775440,         0, 0, 101, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 102, 43, 633, 2, 378269, 1269, 379538, 27, TDMA Tensor Store Compression, 0x4224, 0x4295790688,         0, 0, 102, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 103, 45, 639, 2, 379539, 1124, 380663, 27, TDMA Tensor Store Compression, 0x4280, 0x4295805936,         0, 0, 103, 11, 56, 56, 14336, 56, 1008, 8064, 256, 256, 56, 1, 56, 1, 1
2, 104, 10, 116, 2, 380664, 371, 381035, 28, TDMA Tensor Store Compression, 0x11904, 0x4295966496,         0, 0, 104, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
2, 105, 9, 115, 2, 381036, 367, 381403, 28, TDMA Tensor Store Compression, 0x11960, 0x4295970320,         0, 0, 105, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
2, 106, 10, 117, 2, 381404, 377, 381781, 28, TDMA Tensor Store Compression, 0x12016, 0x4295974144,         0, 0, 106, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
2, 107, 10, 117, 2, 381782, 362, 382144, 28, TDMA Tensor Store Compression, 0x12072, 0x4295977968,         0, 0, 107, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
2, 108, 10, 117, 2, 382145, 372, 382517, 28, TDMA Tensor Store Compression, 0x12128, 0x4295981792,         0, 0, 108, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
2, 109, 10, 117, 2, 382518, 364, 382882, 28, TDMA Tensor Store Compression, 0x12184, 0x4295985616,         0, 0, 109, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
2, 110, 10, 117, 2, 382883, 373, 383256, 28, TDMA Tensor Store Compression, 0x12240, 0x4295989440,         0, 0, 110, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
2, 111, 9, 116, 2, 383257, 366, 383623, 28, TDMA Tensor Store Compression, 0x12296, 0x4295993264,         0, 0, 111, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
2, 112, 9, 116, 2, 383624, 371, 383995, 28, TDMA Tensor Store Compression, 0x12352, 0x4295997088,         0, 0, 112, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
2, 113, 9, 115, 2, 383996, 367, 384363, 28, TDMA Tensor Store Compression, 0x12408, 0x4296000912,         0, 0, 113, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
2, 114, 9, 115, 2, 384364, 376, 384740, 28, TDMA Tensor Store Compression, 0x12464, 0x4296004736,         0, 0, 114, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
2, 115, 9, 114, 2, 384741, 369, 385110, 28, TDMA Tensor Store Compression, 0x12520, 0x4296008560,         0, 0, 115, 12, 56, 56, 3584, 56, 1008, 2016, 64, 64, 56, 1, 56, 1, 1
